"region","id","SampleHabitat","Latitude","Longitude","ept_rich","log_ec","log_turb","slope","scale_temp","av_temp"
"NSW","-36.3022 148.4791 NSW","Riffle",-36.3022,148.4791,11.5,2.4423470353692,0.0953101798043249,0.232647793208935,-0.887274290745982,76
"NSW","-36.3138 148.4904 NSW","Edge",-36.3138,148.4904,6.5,3.77276093809464,0.615185639090233,0.0338687641220715,-0.481649661009986,76
"NSW","-36.3138 148.4904 NSW","Riffle",-36.3138,148.4904,8,3.55534806148941,1.25276296849537,0.0338687641220715,-0.481649661009986,76
"NSW","-36.3171 149.9595 NSW","Edge",-36.3171,149.9595,3,5.14749447681345,2.46809953147162,0.0182177055586036,-0.0853285466009535,152
"NSW","-36.3266 148.3993 NSW","Edge",-36.3266,148.3993,11,1.94591014905531,2.31253542384721,0.137005808754021,-1.09176186087912,53
"NSW","-36.3266 148.3993 NSW","Riffle",-36.3266,148.3993,16,1.94591014905531,2.31253542384721,0.137005808754021,-1.09176186087912,53
"NSW","-36.3275 150.0601 NSW","Edge",-36.3275,150.0601,3,5.06259503302697,2.07944154167984,0.0307786145892522,0.122169955469928,151
"NSW","-36.3296 148.298 NSW","Edge",-36.3296,148.298,8.5,3.54095932403731,1.09861228866811,0.0560491178822513,-0.713724556423443,83
"NSW","-36.3296 148.298 NSW","Riffle",-36.3296,148.298,9,3.49650756146648,1.09861228866811,0.0560491178822513,-0.713724556423443,83
"NSW","-36.3334 149.8076 NSW","Edge",-36.3334,149.8076,6.25,3.79548918917219,2.95360734725332,0.0897535324708813,-0.404731749080842,146
"NSW","-36.3334 149.8076 NSW","Riffle",-36.3334,149.8076,10.6,3.98154906807676,2.87356463957978,0.0897535324708813,-0.404731749080842,146
"NSW","-36.34292304 149.4121023 NSW","Edge",-36.34292304,149.4121023,2,4.29045944114839,1.96009478404727,0.00288832272456989,0.0600325624738954,97
"NSW","-36.34292304 149.4121023 NSW","Riffle",-36.34292304,149.4121023,1,4.29045944114839,1.96009478404727,0.00288832272456989,0.0600325624738954,97
"NSW","-36.347645 149.98355 NSW","Edge",-36.347645,149.98355,5,4.969813299576,3.4904285153901,0.0347204126954366,0.0172154092552937,154
